feature,type,psi,ks,js,cramers_v,severity
plazo_meses,numeric,0.1598793445687754,0.18849632466194544,0.019812572383656905,,AMARILLO
total_otros_prestamos,numeric,0.12973973509562414,0.10498191208012272,0.01596770633391533,,AMARILLO
cuota_pactada,numeric,0.07573693830846423,0.12404145698784486,0.009403860530165172,,AMARILLO
promedio_ingresos_datacredito,numeric,0.33375106173550445,0.22109819182836973,0.03725186018789082,,ROJO
tendencia_ingresos,categorical,0.1047864528528692,,0.005810184981298065,0.0911625624638776,VERDE
capital_prestado,numeric,0.043731780599744544,0.07307929869365615,0.005441078866199234,,VERDE
tipo_credito,numeric,0.012440972720190617,0.05095496472561711,0.0015536072391966887,,VERDE
salario_cliente,numeric,0.010654375683175836,0.04642371532936307,0.0013302050764845026,,VERDE
huella_consulta,numeric,0.007040226661073581,0.031205001659453502,0.0008793979378630247,,VERDE
saldo_total,numeric,0.006585955190869946,0.03570986264307063,0.0008227668116932126,,VERDE
edad_cliente,numeric,0.006104485280730024,0.0335195631769199,0.0007626668689060714,,VERDE
saldo_principal,numeric,0.006052409273188953,0.035430311949882665,0.0007560708905759608,,VERDE
creditos_sectorCooperativo,numeric,0.004349552816921918,0.025874074074683118,0.0005433245696276944,,VERDE
creditos_sectorReal,numeric,0.003968163256001109,0.021420515219001346,0.0004957129117525065,,VERDE
cant_creditosvigentes,numeric,0.0035421083390109564,0.01839629788542793,0.00044265439641936414,,VERDE
creditos_sectorFinanciero,numeric,0.000668354600382212,0.006982406504367156,8.354042206335942e-05,,VERDE
tipo_laboral,categorical,3.8036362988105895e-05,,4.754535828704475e-06,0.0028253384925536595,VERDE
saldo_mora,numeric,0.0,0.0055865330987338035,0.0,,VERDE
saldo_mora_codeudor,numeric,0.0,0.0004230714990833828,0.0,,VERDE
